Method,Direction,TOF_days,dV1_km_s,dV2_km_s,dVtotal_km_s,FinalPositionError_km,nRev,aPhase_km,rpPhase_km,V1x,V1y,V1z,V2minus_x,V2minus_y,V2minus_z
Lambert,Prograde,1.0000000000,2.1830103372,1.2822152487,3.4652255859,1.6865169762e-06,NaN,NaN,NaN,-1.3309534241,-3.0559523044,0.0000000000,-0.9674254332,3.1095779518,0.0000000000
Lambert,Prograde,1.0435021751,2.1601614844,1.1592629462,3.3194244305,1.7922633483e-06,NaN,NaN,NaN,-1.1847978749,-3.1378689413,-0.0000000000,-1.6311262627,2.8543349464,0.0000000000
Lambert,Prograde,1.0870043502,2.1412165955,1.0473425077,3.1885591032,8.0845300050e-05,NaN,NaN,NaN,-1.0439821588,-3.2056733479,-0.0000000000,-2.2373324281,2.4400891042,0.0000000000
Lambert,Prograde,1.1305065253,2.1255957634,0.9461282021,3.0717239655,3.2030759018e-06,NaN,NaN,NaN,-0.9083636752,-3.2614748812,-0.0000000000,-2.7424769791,1.8815296764,0.0000000000
Lambert,Prograde,1.1740087004,2.1128087086,0.8554375274,2.9682462360,8.4236536781e-06,NaN,NaN,NaN,-0.7773090537,-3.3071268196,-0.0000000000,-3.1080533612,1.2063532029,0.0000000000
Lambert,Prograde,1.2175108755,2.1024593317,0.7753034272,2.8777627589,1.6755376741e-04,NaN,NaN,NaN,-0.6496441557,-3.3442239248,-0.0000000000,-3.3047440310,0.4528485371,0.0000000000
Lambert,Prograde,1.2610130507,2.0942542840,0.7061125218,2.8003668058,1.2804014444e-05,NaN,NaN,NaN,-0.5234838983,-3.3740971096,-0.0000000000,-3.3151246125,-0.3339590741,0.0000000000
MultiRevLambert,Prograde, M=3, low,3.4709235462,1.6784490421,0.1615650756,1.8400141176,1.3726915244e-04,3,NaN,NaN,0.2583139978,-2.9777922230,-0.0000000000,-2.7059856861,-0.9395609904,0.0000000000
MultiRevLambert,Prograde, M=10, low,10.7386869343,1.7617192777,0.0544895128,1.8162087905,1.3515134616e-03,10,NaN,NaN,0.0191760393,-3.0897670361,-0.0000000000,-1.9347970597,2.3242822302,0.0000000000
